domain,speed_m_per_s,evaluation_seed_count,completed_slots,joint_qos_outage_count,joint_qos_outage_rate,mean_seed_actual_weighted_throughput_bps,std_seed_actual_weighted_throughput_bps,pooled_actual_weighted_throughput_bps,mean_seed_joint_qos_effective_throughput_bps,std_seed_joint_qos_effective_throughput_bps
in_domain,0.3,10,1920,0,0.0,215285589.74166667,12673277.75691724,215285589.74166667,215285589.74166667,12673277.75691724
in_domain,0.6,10,1920,0,0.0,214909031.80833334,12163775.636949243,214909031.80833334,214909031.80833334,12163775.636949243
in_domain,0.9,10,1920,0,0.0,212638746.675,12368011.814640598,212638746.675,212638746.675,12368011.814640598
in_domain,1.2,10,1920,4,0.0020833333333333333,210147734.07083333,12691395.406496802,210147734.07083333,209776192.0875,13203946.443070631
in_domain,1.5,10,1920,8,0.004166666666666667,207558470.74166667,13048834.289824788,207558470.74166667,206871677.44166666,13642059.297582358
in_domain,1.8,10,1920,11,0.005729166666666666,205032163.02083334,13464399.695781652,205032163.02083334,204146411.4125,14264437.769229311
