root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,3,0.2565832734107971,248202736.0,0,0.4361676275730133,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3032153248786926,0.17956629395484924,0.32190853357315063,0.4385164678096771,0.2728700041770935,2.1648869733326137e-05,1.5882684238022193e-05,2.3360258637694642e-05,2.5071847630897537e-05,2.2280688426690176e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,4,0.2659430205821991,249396512.0,0,0.4392482042312622,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3254084885120392,0.19949176907539368,0.3045286536216736,0.4935790002346039,0.3040345311164856,2.289012309120153e-05,1.5733221516711637e-05,2.395423871348612e-05,2.6724268536781892e-05,2.5148763597826473e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,5,0.24921970069408417,256078272.0,0,0.4435521066188812,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3280300125479698,0.16242921352386475,0.2875903248786926,0.5485067367553711,0.3135937750339508,2.2223199948712136e-05,1.3656671399076004e-05,2.3309683456318453e-05,2.8397204005159438e-05,2.352924093429465e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,6,0.2780495285987854,244447040.0,0,0.44770318269729614,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.31459735706448555,0.1441175788640976,0.28771430253982544,0.5189639329910278,0.30759361386299133,2.2184352474141633e-05,1.6066029274952598e-05,2.2525457097799517e-05,2.6550525944912806e-05,2.359539757890161e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,7,0.24998748302459717,283596704.0,0,0.46515989303588867,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3247056305408478,0.13369640707969666,0.324686735868454,0.5375452041625977,0.3028941750526428,2.3284983399207704e-05,1.7288115486735478e-05,2.222614421043545e-05,2.933140058303252e-05,2.429427331662737e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,8,0.2650327980518341,250167648.0,0,0.444092333316803,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3294099345803261,0.14432430267333984,0.33259689807891846,0.5390156507492065,0.3017028868198395,2.35198276641313e-05,1.7817041225498542e-05,2.2125612304080278e-05,2.8072214263374917e-05,2.6064442863571458e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,9,0.22306892275810242,253216464.0,0,0.4309864342212677,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.32682758942246437,0.1490994244813919,0.33185964822769165,0.5577729940414429,0.26857829093933105,2.33630848924804e-05,1.687509211478755e-05,2.1580357497441582e-05,3.113131606369279e-05,2.386557389399968e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,10,0.25723037123680115,234607056.0,0,0.4238271117210388,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.32384342327713966,0.13139484822750092,0.33821383118629456,0.5656012296676636,0.2601637840270996,2.364549482081202e-05,1.717223676678259e-05,2.363423482165672e-05,2.9918865038780496e-05,2.385664265602827e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,11,0.25919434428215027,239118112.0,0,0.42247164249420166,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3127920273691416,0.1246674433350563,0.30556267499923706,0.5323310494422913,0.2886069416999817,2.4485010271746432e-05,1.743532448017504e-05,2.2302243451122195e-05,3.2932359317783266e-05,2.5270113837905228e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,12,0.2415943741798401,268809120.0,0,0.4543210566043854,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.31375522911548615,0.15859466791152954,0.28119635581970215,0.5023645162582397,0.31286537647247314,2.2885764337843284e-05,1.7844968169811182e-05,1.8839820768334903e-05,3.3439951948821545e-05,2.1418316464405507e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,13,0.23831525444984436,244328928.0,0,0.43098822236061096,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3142717368900776,0.15946687757968903,0.292163610458374,0.5316824913024902,0.2737739682197571,2.3712365418759873e-05,1.747092574078124e-05,2.2171383534441702e-05,3.09645474771969e-05,2.4242604922619648e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,14,0.2669122815132141,264168800.0,0,0.45040449500083923,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.30590130761265755,0.15153169631958008,0.29187148809432983,0.5496073365211487,0.2305947095155716,2.2844581962999655e-05,1.6427584341727197e-05,2.4244545784313232e-05,2.9930750315543264e-05,2.0775447410414927e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,15,0.2680806517601013,239014384.0,0,0.41577133536338806,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.3069702088832855,0.17541256546974182,0.30551573634147644,0.49244022369384766,0.25451231002807617,2.1341942556318827e-05,1.776795761543326e-05,2.231123835372273e-05,2.7095442419522442e-05,1.8193131836596876e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,16,0.2756514549255371,243614672.0,0,0.4229873716831207,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.32298119366168976,0.16900819540023804,0.3032678961753845,0.524743378162384,0.29490530490875244,2.2821549009677256e-05,1.8384593204245903e-05,2.387063068454154e-05,2.970258537970949e-05,1.932838677021209e-05,0.0016099375000067084
1001,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,17,0.233506441116333,231645424.0,0,0.4314618706703186,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.34067875146865845,0.17911690473556519,0.3066560626029968,0.5294883847236633,0.34745365381240845,2.4514199594705133e-05,1.7608195776119828e-05,2.235152896901127e-05,3.144738366245292e-05,2.6649689971236512e-05,0.0016099375000067084
