root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,3,0.5465269088745117,154534464.0,0,0.2617720663547516,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7944798916578293,0.6132162809371948,0.8132399320602417,0.7748522162437439,0.9766111373901367,3.397163209228893e-05,3.157425089739263e-05,3.200451101292856e-05,2.773434061964508e-05,4.457342583918944e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,4,0.5010406970977783,191963296.0,0,0.34014400839805603,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7428966015577316,0.5077732801437378,0.7842183709144592,0.7307142019271851,0.9488805532455444,3.2636599371471675e-05,2.997097726620268e-05,3.300618482171558e-05,3.236862539779395e-05,3.520061000017449e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,5,0.5934277772903442,168745744.0,0,0.35879382491111755,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.6926302164793015,0.5554328560829163,0.7469381093978882,0.7066652774810791,0.7614846229553223,3.1567195037496276e-05,3.219773861928843e-05,3.1128638511290774e-05,3.128365642623976e-05,3.165874659316614e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,6,0.5652897357940674,157866560.0,0,0.29152578115463257,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7179694026708603,0.6193941831588745,0.6589562892913818,0.8047021627426147,0.7888249754905701,3.256636864534812e-05,2.9886197808082215e-05,3.236100383219309e-05,3.0476008760160767e-05,3.754226418095641e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,7,0.558211624622345,166243376.0,0,0.24379581212997437,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7634487301111221,0.6184288859367371,0.6666028499603271,0.8666300773620605,0.9021331071853638,3.465568624960724e-05,3.2118376111611724e-05,3.078090594499372e-05,3.2477972126798704e-05,4.324549081502482e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,8,0.5343650579452515,167843184.0,0,0.32862526178359985,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7474073022603989,0.6175398230552673,0.5989507436752319,0.8308514356613159,0.9422872066497803,3.433741039771121e-05,3.4340424463152885e-05,2.8411557650542818e-05,2.9721808459726162e-05,4.4875851017422974e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,9,0.5856643915176392,165724512.0,0,0.28564217686653137,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7274045795202255,0.52953040599823,0.689655065536499,0.7389715313911438,0.9514613151550293,3.4358922675892245e-05,3.082200055359863e-05,3.1834621040616184e-05,3.057481080759317e-05,4.4204258301761e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,10,0.5345336198806763,204515600.0,0,0.3167809247970581,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7273596376180649,0.5225188732147217,0.7670643925666809,0.6317534446716309,0.9881018400192261,3.523827308526961e-05,3.0705155950272456e-05,3.1124069209909067e-05,3.363723953953013e-05,4.5486627641366795e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,11,0.4811813533306122,179358816.0,0,0.2626267075538635,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.7391652166843414,0.6118757724761963,0.6749300956726074,0.7107295989990234,0.9591253995895386,3.252580700063845e-05,2.6934900233754888e-05,3.122005728073418e-05,3.130816185148433e-05,4.064010863658041e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,12,0.5111773014068604,176049408.0,0,0.3617764413356781,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.6892958730459213,0.5598914623260498,0.6728495359420776,0.7430050373077393,0.7814374566078186,3.334677467137226e-05,2.979737655550707e-05,2.9764443752355874e-05,3.33130665239878e-05,4.051221185363829e-05,0.002146837500011619
801,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,13,0.548152506351471,154982448.0,0,0.335468053817749,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.6566732972860336,0.5309908390045166,0.7595116496086121,0.6481876373291016,0.6880030632019043,3.2955976621451555e-05,3.132090569124557e-05,2.8141590519226156e-05,3.090251993853599e-05,4.1458890336798504e-05,0.002146837500011619
