root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,3,0.4015805125236511,217516464.0,0,0.38583454489707947,2.384185791015625e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.5537007991224527,0.03861037641763687,0.8281038999557495,1.043177843093872,0.3049110770225525,2.7504584522830555e-05,1.3631026376970112e-05,4.259719935362227e-05,3.781323175644502e-05,1.5976880604284815e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,4,0.3567325174808502,213101584.0,0,0.40465235710144043,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.5455077383667231,0.042881645262241364,0.7722136974334717,1.0898586511611938,0.27707695960998535,2.7920859110963647e-05,1.3860592844139319e-05,4.021891800221056e-05,3.8557147490791976e-05,1.9046778106712736e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,5,0.43856701254844666,167887024.0,0,0.26802778244018555,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.48154133930802345,0.048074111342430115,0.7255685329437256,0.9143337607383728,0.2381889522075653,2.7914751626667567e-05,1.3018905519857071e-05,3.991423000115901e-05,3.963426570408046e-05,1.909160528157372e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,6,0.4067420959472656,184290304.0,0,0.334480345249176,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49521909188479185,0.04840446636080742,0.8270277380943298,0.8842241764068604,0.2212199866771698,2.7975176863037632e-05,1.512747894594213e-05,4.404742503538728e-05,3.566520172171295e-05,1.7060601749108173e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,7,0.3657105565071106,206648448.0,0,0.3990471363067627,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.5140709709376097,0.04804687947034836,0.9284740090370178,0.8265566229820251,0.25320637226104736,2.832165478139359e-05,1.4338686924020294e-05,4.7313867980847135e-05,3.459013532847166e-05,1.704392889223527e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,8,0.3722667098045349,182001264.0,0,0.33018437027931213,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.46315733529627323,0.05213747173547745,0.7827232480049133,0.7330021858215332,0.28476643562316895,2.6255093189320178e-05,1.4872580322844442e-05,4.217497553327121e-05,2.944223342637997e-05,1.853058347478509e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,9,0.3159804046154022,182824032.0,0,0.30793797969818115,2.384185791015625e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.4686841508373618,0.05257111415266991,0.7233430743217468,0.8126156330108643,0.28620678186416626,2.645053518790519e-05,1.4230525266611949e-05,4.295270991860889e-05,3.061120878555812e-05,1.8007696780841798e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,10,0.3592241406440735,187283040.0,0,0.3144691288471222,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.46114780008792877,0.046372830867767334,0.7230128645896912,0.7959672212600708,0.2792382836341858,2.6132673156098463e-05,1.554973641759716e-05,4.001870911451988e-05,3.188881601090543e-05,1.7073431081371382e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,11,0.40906453132629395,199532624.0,0,0.31728482246398926,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.44150141812860966,0.040986813604831696,0.7111678719520569,0.6985034942626953,0.31534749269485474,2.5990578933487996e-05,1.5157157577050384e-05,3.6430803447728977e-05,3.291284156148322e-05,1.9461513147689402e-05,0.0016071645833335424
601,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,12,0.407031387090683,193697840.0,0,0.3070516288280487,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.4759739115834236,0.03999137878417969,0.8694921731948853,0.7107844948768616,0.28362759947776794,2.772615334833972e-05,1.4172786904964596e-05,4.242691647959873e-05,3.352480416651815e-05,2.0780105842277408e-05,0.0016071645833335424
