domain,rician_factor_db,evaluation_seed_count,completed_slots,joint_qos_outage_count,joint_qos_outage_rate,mean_seed_actual_weighted_throughput_bps,std_seed_actual_weighted_throughput_bps,pooled_actual_weighted_throughput_bps,mean_seed_joint_qos_effective_throughput_bps,std_seed_joint_qos_effective_throughput_bps
in_domain,0.0,10,1920,198,0.103125,156241312.62083334,6865540.879701696,156241312.62083334,142948256.71666667,12864184.206277607
in_domain,1.0,10,1920,68,0.035416666666666666,173258283.5625,6903285.157995768,173258283.5625,168268089.23333332,9653876.969822789
in_domain,2.0,10,1920,22,0.011458333333333333,188764817.5125,6903926.235958522,188764817.5125,187086690.9125,6934614.507150478
in_domain,3.0,10,1920,6,0.003125,202593593.625,6926290.316250243,202593593.625,202081117.025,6801618.707349221
in_domain,4.0,10,1920,3,0.0015625,214695790.725,6948934.149934806,214695790.725,214419073.50833333,7085940.985459709
in_domain,5.0,10,1920,0,0.0,225110686.05833334,6991293.902616795,225110686.05833334,225110686.05833334,6991293.902616795
in_domain,6.0,10,1920,0,0.0,233922247.85,7030292.875965555,233922247.85,233922247.85,7030292.875965555
in_domain,7.0,10,1920,0,0.0,241318654.35,7138631.712749417,241318654.35,241318654.35,7138631.712749417
