root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,3,0.17641501128673553,232673600.0,0,0.43775805830955505,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23418875224888325,0.15367606282234192,0.26633721590042114,0.46894556283950806,0.04779616743326187,2.0914621018164326e-05,1.4271063264459372e-05,2.2744517991668545e-05,2.947822940768674e-05,1.7164673408842646e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,4,0.18051373958587646,244923552.0,0,0.44238948822021484,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22209810838103294,0.1568688452243805,0.29179805517196655,0.39117100834846497,0.04855452477931976,1.9778655769187026e-05,1.6234907889156602e-05,2.2292460926109925e-05,2.5926830858225003e-05,1.4660423403256573e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,5,0.1882787048816681,244463792.0,0,0.4264568090438843,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22152471914887428,0.1474175900220871,0.2845241129398346,0.39878740906715393,0.05536976456642151,2.0033834744026535e-05,1.6270094420178793e-05,2.076970304187853e-05,2.8409036531229503e-05,1.4686504982819315e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,6,0.1929161101579666,247711872.0,0,0.44561517238616943,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22237208485603333,0.1434498131275177,0.26200929284095764,0.42694705724716187,0.057082176208496094,2.0160326357654412e-05,1.3674803085450549e-05,1.9240687834098935e-05,3.2183223083848134e-05,1.554259142722003e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,7,0.1938123106956482,253005600.0,0,0.4376600980758667,2.384185791015625e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23222842812538147,0.15472620725631714,0.2688022255897522,0.4502711296081543,0.055114150047302246,2.0939875867043156e-05,1.5725381672382355e-05,1.987433643080294e-05,3.198070407961495e-05,1.6179081285372376e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,8,0.1940481960773468,246224512.0,0,0.4289107620716095,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23317493684589863,0.17293956875801086,0.2732735574245453,0.4347074031829834,0.05177921801805496,1.9921993953175843e-05,1.5628496839781292e-05,1.816816620703321e-05,2.9023367460467853e-05,1.6867945305421017e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,9,0.1856241226196289,249776528.0,0,0.46158427000045776,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23657480254769325,0.17523829638957977,0.3158911168575287,0.39840269088745117,0.05676710605621338,1.9110812672806787e-05,1.4665708476968575e-05,1.8315377019462176e-05,2.5898325475282036e-05,1.7563839719514363e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,10,0.17064008116722107,225773280.0,0,0.41815391182899475,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23213729821145535,0.15812397003173828,0.33151403069496155,0.38011980056762695,0.0587913915514946,1.9241965219407575e-05,1.5050252841319889e-05,1.9449109458946623e-05,2.478716487530619e-05,1.76813337020576e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,11,0.16446858644485474,252002928.0,0,0.4636981785297394,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21912969276309013,0.14286436140537262,0.29561543464660645,0.3835422396659851,0.05449673533439636,1.888095289359626e-05,1.3192770893510897e-05,1.807182707125321e-05,2.6602923753671348e-05,1.765628985594958e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,12,0.17593833804130554,245542640.0,0,0.40253058075904846,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.20815666019916534,0.14627161622047424,0.2781655788421631,0.35769397020339966,0.05049547553062439,1.8647536535354448e-05,1.3643170859722886e-05,1.7995471353060566e-05,2.5552441002218984e-05,1.7399062926415354e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,13,0.18030758202075958,242426032.0,0,0.41688308119773865,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.2167894234880805,0.15905781090259552,0.2719581723213196,0.38728126883506775,0.04886044189333916,1.9168834342053742e-05,1.4523847312375437e-05,1.5526597053394653e-05,2.909167596953921e-05,1.7533217032905668e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,14,0.18564307689666748,266651632.0,0,0.47887545824050903,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22838472574949265,0.16144758462905884,0.271056592464447,0.4265851378440857,0.05444958806037903,1.917990834954253e-05,1.376967065880308e-05,1.642619645281229e-05,2.946459426311776e-05,1.7059172023436986e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,15,0.2023935467004776,235708032.0,0,0.39991167187690735,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22129284031689167,0.1610683649778366,0.2697261571884155,0.3974330723285675,0.05694376677274704,1.973538405763975e-05,1.478229842177825e-05,1.7002757886075415e-05,3.1386571208713576e-05,1.5769908713991754e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,16,0.16359670460224152,236204304.0,0,0.4337103068828583,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.24157866556197405,0.15265297889709473,0.27167290449142456,0.48413026332855225,0.05785851553082466,2.0559205950121395e-05,1.5788067685207352e-05,1.760900704539381e-05,3.2831438147695735e-05,1.6008310922188684e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,17,0.18834441900253296,246307936.0,0,0.43539586663246155,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23012447636574507,0.15547078847885132,0.25024086236953735,0.4558277726173401,0.05895848199725151,1.983285028472892e-05,1.6131245502037928e-05,1.9188275473425165e-05,2.8812406526412815e-05,1.5199473637039773e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,18,0.16614826023578644,263898704.0,0,0.46573591232299805,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21662688627839088,0.18205690383911133,0.25405001640319824,0.3765036463737488,0.05389697849750519,1.8291247442903114e-05,1.6355012121493928e-05,1.732467717374675e-05,2.4991320970002562e-05,1.4493979506369215e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,19,0.16358329355716705,264784848.0,0,0.4508734345436096,2.384185791015625e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21775579452514648,0.17123743891716003,0.25718632340431213,0.392142653465271,0.05045676231384277,1.761771227393183e-05,1.6129893992911093e-05,1.581036121933721e-05,2.3895981939858757e-05,1.4634611943620257e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,20,0.18262022733688354,250061568.0,0,0.4211345314979553,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.20142151974141598,0.1470029354095459,0.23947814106941223,0.3749018907546997,0.04430311173200607,1.9006152342626592e-05,1.6069989214884117e-05,1.7518590539111756e-05,2.844322079909034e-05,1.3992808817420155e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,21,0.1803818941116333,262925536.0,0,0.44989609718322754,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22160372324287891,0.17210687696933746,0.26989051699638367,0.3995670974254608,0.04485040158033371,1.885513415800233e-05,1.5064251783769578e-05,1.8197428289568052e-05,2.8991762519581243e-05,1.3167094039090443e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,22,0.18296848237514496,254307904.0,0,0.40234994888305664,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23239577934145927,0.18252933025360107,0.2927280068397522,0.4072284698486328,0.04709731042385101,1.9077511979048722e-05,1.7829584976425394e-05,1.7010621377266943e-05,2.8489823307609186e-05,1.2980018254893366e-05,0.001640641666654119
301,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,23,0.17727211117744446,251153872.0,0,0.435086727142334,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.233736427500844,0.16157078742980957,0.291261225938797,0.43361371755599976,0.048499979078769684,2.040678668890905e-05,1.8521146557759494e-05,2.086310814775061e-05,2.8302069040364586e-05,1.3940823009761516e-05,0.001640641666654119
