L,outage_count,total_valid_slots,outage_rate_percent,average_throughput_mbps,qos_effective_throughput_mbps
1,116,1920,6.041666666666667,189.29580374583333,179.4528299375
2,43,1920,2.2395833333333335,201.70396197083332,198.478784975
3,36,1920,1.875,202.17680095833333,199.31914537916666
4,31,1920,1.6145833333333333,206.1011821125,203.7663322666667
